,carat,cut,color,clarity,depth,table,price,x,y,z
2207,1.0,Premium,G,SI2,59.1,59.0,3142.0,6.55,6.48,0.0
2314,1.01,Premium,H,I1,58.1,59.0,3167.0,6.66,6.6,0.0
4791,1.1,Premium,G,SI2,63.0,59.0,3696.0,6.5,6.47,0.0
5471,1.01,Premium,F,SI2,59.2,58.0,3837.0,6.5,6.47,0.0
10167,1.5,Good,G,I1,64.0,61.0,4731.0,7.15,7.04,0.0
11182,1.07,Ideal,F,SI2,61.6,56.0,4954.0,0.0,6.62,0.0
11963,1.0,Very Good,H,VS2,63.3,53.0,5139.0,0.0,0.0,0.0
13601,1.15,Ideal,G,VS2,59.2,56.0,5564.0,6.88,6.83,0.0
14635,1.07,Ideal,F,SI1,60.6,57.0,5909.0,6.62,6.67,1.07
15951,1.14,Fair,G,VS1,57.5,67.0,6381.0,0.0,0.0,0.0
20694,1.53,Ideal,I,SI1,61.9,54.0,8971.0,7.43,7.5,1.53
21654,1.41,Ideal,H,VS1,60.7,56.0,9752.0,7.31,7.22,1.41
24394,2.18,Premium,H,SI2,59.4,61.0,12631.0,8.49,8.45,0.0
24520,1.56,Ideal,G,VS2,62.2,54.0,12800.0,0.0,0.0,0.0
26123,2.25,Premium,I,SI1,61.3,58.0,15397.0,8.52,8.42,0.0
26243,1.2,Premium,D,VVS1,62.1,59.0,15686.0,0.0,0.0,0.0
27112,2.2,Premium,H,SI1,61.2,59.0,17265.0,8.42,8.37,0.0
27429,2.25,Premium,H,SI2,62.8,59.0,18034.0,0.0,0.0,0.0
27503,2.02,Premium,H,VS2,62.7,53.0,18207.0,8.02,7.95,0.0
27739,2.8,Good,G,SI2,63.8,58.0,18788.0,8.9,8.85,0.0
39246,0.38,Ideal,E,VVS2,60.9,56.0,1068.0,4.71,4.68,2.06
49556,0.71,Good,F,SI2,64.1,60.0,2130.0,0.0,0.0,0.0
49557,0.71,Good,F,SI2,64.1,60.0,2130.0,0.0,0.0,0.0
51506,1.12,Premium,G,I1,60.4,59.0,2383.0,6.71,6.67,0.0
